"experience_level";"employment_type";"job_title";"salary_in_usd";"employee_residence";"remote_ratio";"company_location";"company_size"
"MI";"FT";"Data Scientist";90734;"DE";50;"DE";"L"
"MI";"FT";"Data Engineer";26005;"RO";0;"US";"L"
"SE";"FT";"Finance Data Analyst";61896;"GB";50;"GB";"L"
"MI";"FT";"Data Engineer";4000;"IR";100;"IR";"M"
"SE";"FT";"Data Analytics Engineer";50000;"VN";100;"GB";"M"
"SE";"FT";"Data Engineer";76833;"RO";50;"GB";"S"
"MI";"FT";"ML Engineer";74000;"JP";50;"JP";"S"
"SE";"FT";"Data Science Manager";152000;"US";100;"FR";"L"
"EN";"FT";"ML Engineer";21844;"CO";50;"CO";"M"
"MI";"FT";"Big Data Engineer";18000;"MD";0;"MD";"S"
"SE";"FT";"Data Science Manager";174000;"US";100;"US";"L"
"SE";"FT";"Research Scientist";96113;"CA";50;"CA";"L"
"MI";"FT";"Data Scientist";147000;"US";50;"US";"L"
"EN";"FT";"BI Data Analyst";9272;"KE";100;"KE";"S"
"SE";"FT";"ML Engineer";24342;"IN";100;"IN";"L"
"SE";"FT";"Data Science Manager";54094;"IN";50;"US";"L"
"EN";"FT";"Data Science Consultant";90000;"US";100;"US";"S"
"MI";"FT";"Data Scientist";61467;"DE";50;"AT";"M"
"SE";"FT";"ML Infrastructure Engineer";195000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";37825;"ES";100;"ES";"L"
"SE";"FT";"Research Scientist";50000;"FR";100;"US";"S"
"MI";"FT";"Data Scientist";160000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";12901;"BR";0;"BR";"S"
"SE";"FT";"ML Engineer";200000;"US";100;"US";"L"
"SE";"FT";"Data Engineer";165000;"US";0;"US";"M"
"SE";"FT";"Data Analytics Manager";120000;"US";0;"US";"L"
"MI";"FT";"ML Engineer";24823;"SI";50;"SI";"L"
"MI";"FT";"Research Scientist";56738;"FR";50;"FR";"S"
"MI";"FT";"Data Engineer";66022;"HK";50;"GB";"S"
"EN";"FT";"Big Data Engineer";5882;"IN";0;"CH";"L"
"EN";"FT";"ML Engineer";24823;"DE";50;"DE";"M"
"SE";"FT";"Principal Data Engineer";185000;"US";100;"US";"L"
"MI";"FT";"Data Scientist";90734;"DE";50;"DE";"L"
"MI";"FT";"ML Engineer";88654;"BE";100;"BE";"M"
"SE";"FT";"Data Analytics Manager";140000;"US";100;"US";"L"
"MI";"FT";"ML Engineer";46597;"PL";100;"PL";"L"
"MI";"FT";"Data Scientist";116914;"GB";50;"GB";"L"
"MI";"FT";"Data Scientist";33808;"IN";0;"IN";"M"
"MI";"FT";"Data Scientist";56256;"GB";50;"GB";"L"
"SE";"FT";"ML Scientist";225000;"US";100;"CA";"L"
"SE";"FT";"Data Scientist";87738;"CA";100;"CA";"S"
"MI";"FT";"Data Scientist";88654;"DE";50;"DE";"L"
"SE";"FT";"Data Scientist";135000;"US";0;"US";"L"
"SE";"FT";"Data Analyst";71786;"CA";100;"CA";"M"
"EN";"FT";"Big Data Engineer";16228;"IN";100;"IN";"L"
"SE";"FT";"ML Engineer";256000;"US";100;"US";"S"
"SE";"FT";"Director of Data Engineering";200000;"US";100;"US";"L"
"SE";"FT";"Data Analyst";200000;"US";100;"US";"L"
"MI";"FT";"Data Architect";180000;"US";100;"US";"L"
"MI";"FT";"Head of Data Science";110000;"US";0;"US";"S"
"MI";"FT";"Research Scientist";63810;"CA";100;"CA";"M"
"MI";"FT";"Data Scientist";46809;"ES";100;"ES";"M"
"EN";"FT";"Data Scientist";4000;"VN";0;"VN";"M"
"EN";"FT";"Data Engineer";21637;"IN";50;"IN";"M"
"SE";"FT";"Data Scientist";103691;"CA";100;"CA";"L"
"MI";"FT";"Data Analyst";80000;"US";100;"US";"L"
"MI";"FT";"Data Engineer";110000;"US";100;"US";"L"
"SE";"FT";"Data Scientist";165000;"US";100;"US";"L"
"EN";"FT";"AI Scientist";18053;"IN";100;"AS";"S"
"MI";"FT";"Data Engineer";72212;"GB";50;"GB";"L"
"EN";"FT";"Data Scientist";36643;"FR";50;"FR";"L"
"MI";"FT";"Data Engineer";12103;"TR";0;"TR";"M"
"SE";"FT";"Data Engineer";96282;"GB";50;"GB";"L"
"SE";"FT";"Principal Data Analyst";170000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";115000;"US";50;"US";"L"
"EN";"FT";"Data Scientist";90000;"US";100;"US";"S"
"EN";"FT";"Data Scientist";28399;"IN";100;"IN";"M"
"MI";"FT";"Data Analyst";93000;"US";100;"US";"L"
"SE";"FT";"Big Data Architect";99703;"CA";50;"CA";"M"
"MI";"FT";"Data Engineer";200000;"US";100;"US";"L"
"SE";"FT";"Principal Data Scientist";173762;"DE";100;"DE";"M"
"SE";"FT";"ML Engineer";185000;"US";50;"US";"L"
"MI";"FT";"Data Scientist";130000;"US";50;"US";"L"
"SE";"FT";"Data Analyst";63831;"DE";50;"DE";"L"
"MI";"FT";"Data Scientist";16904;"IN";100;"IN";"S"
"SE";"FT";"ML Engineer";66265;"IN";0;"IN";"L"
"MI";"FT";"Data Scientist";25532;"RS";100;"DE";"S"
"SE";"FT";"Lead Data Engineer";160000;"PR";50;"US";"S"
"MI";"FT";"Data Engineer";93150;"US";0;"US";"M"
"MI";"FT";"Data Engineer";111775;"US";0;"US";"M"
"MI";"FT";"Data Engineer";28016;"TR";100;"TR";"M"
"EN";"FT";"Data Engineer";65013;"DE";50;"DE";"M"
"EN";"FT";"Data Engineer";72500;"US";100;"US";"L"
"SE";"FT";"Computer Vision Engineer";18907;"BR";0;"BR";"M"
"EN";"FT";"Data Science Consultant";76833;"DE";0;"DE";"L"
"EN";"FT";"ML Engineer";85000;"NL";100;"DE";"S"
"SE";"FT";"Data Scientist";77684;"FR";50;"FR";"M"
"EN";"FT";"Data Scientist";100000;"US";100;"US";"M"
"EN";"FT";"Data Scientist";58000;"US";50;"US";"L"
"SE";"FT";"AI Scientist";55000;"ES";100;"ES";"L"
"SE";"FT";"Data Scientist";20171;"TR";50;"TR";"L"
"EN";"FT";"Business Data Analyst";59102;"LU";100;"LU";"L"
"MI";"FT";"Data Engineer";112000;"US";100;"US";"L"
"EN";"FT";"Research Scientist";100000;"JE";0;"CN";"L"
"MI";"FT";"Research Scientist";69999;"CZ";50;"CZ";"L"
"SE";"FT";"Data Science Manager";94665;"IN";50;"IN";"L"
"SE";"FT";"Head of Data";102839;"SI";100;"SI";"L"
"MI";"FT";"Data Scientist";109000;"US";50;"US";"L"
"MI";"FT";"ML Engineer";51064;"IT";50;"IT";"L"
"SE";"FT";"Data Engineer";135000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";155000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";120600;"US";100;"US";"M"
"MI";"FT";"Data Scientist";130000;"US";0;"US";"M"
"MI";"FT";"Data Scientist";90000;"US";0;"US";"M"
"MI";"FT";"Data Engineer";170000;"US";100;"US";"M"
"MI";"FT";"Data Engineer";150000;"US";100;"US";"M"
"SE";"FT";"Data Analyst";102100;"US";100;"US";"M"
"SE";"FT";"Data Analyst";84900;"US";100;"US";"M"
"SE";"FT";"Data Scientist";136620;"US";100;"US";"M"
"SE";"FT";"Data Scientist";99360;"US";100;"US";"M"
"SE";"FT";"Data Scientist";117789;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";104702;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";146000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";123000;"US";100;"US";"M"
"EN";"FT";"Data Engineer";52351;"GB";100;"GB";"M"
"SE";"FT";"Data Analyst";99000;"US";0;"US";"M"
"SE";"FT";"Data Analyst";116000;"US";0;"US";"M"
"MI";"FT";"Data Analyst";106260;"US";0;"US";"M"
"MI";"FT";"Data Analyst";126500;"US";0;"US";"M"
"MI";"FT";"Data Scientist";65438;"GB";0;"GB";"M"
"MI";"FT";"Data Scientist";39263;"GB";0;"GB";"M"
"MI";"FT";"Data Engineer";78526;"GB";0;"GB";"M"
"MI";"FT";"Data Engineer";52351;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";165220;"US";100;"US";"M"
"EN";"FT";"Data Engineer";45807;"GB";100;"GB";"M"
"SE";"FT";"Data Scientist";120160;"US";100;"US";"M"
"SE";"FT";"Data Analyst";90320;"US";100;"US";"M"
"SE";"FT";"Data Engineer";181940;"US";0;"US";"M"
"SE";"FT";"Data Engineer";132320;"US";0;"US";"M"
"SE";"FT";"Data Engineer";220110;"US";0;"US";"M"
"SE";"FT";"Data Engineer";160080;"US";0;"US";"M"
"SE";"FT";"Data Scientist";180000;"US";0;"US";"L"
"SE";"FT";"Data Scientist";120000;"US";0;"US";"L"
"SE";"FT";"Data Analyst";124190;"US";100;"US";"M"
"SE";"FT";"Data Analyst";170000;"US";100;"US";"M"
"MI";"FT";"Data Analyst";115500;"US";100;"US";"M"
"SE";"FT";"Data Analyst";112900;"US";100;"US";"M"
"SE";"FT";"Data Analyst";90320;"US";100;"US";"M"
"SE";"FT";"Data Analyst";112900;"US";100;"US";"M"
"SE";"FT";"Data Analyst";90320;"US";100;"US";"M"
"SE";"FT";"Data Engineer";165400;"US";100;"US";"M"
"SE";"FT";"Data Engineer";132320;"US";100;"US";"M"
"MI";"FT";"Data Analyst";167000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";243900;"US";100;"US";"M"
"SE";"FT";"Data Analyst";136600;"US";100;"US";"M"
"SE";"FT";"Data Analyst";109280;"US";100;"US";"M"
"SE";"FT";"Data Engineer";128875;"US";100;"US";"M"
"SE";"FT";"Data Engineer";93700;"US";100;"US";"M"
"SE";"FT";"Data Engineer";156600;"US";100;"US";"M"
"SE";"FT";"Data Engineer";108800;"US";0;"US";"M"
"SE";"FT";"Data Scientist";95550;"US";0;"US";"M"
"SE";"FT";"Data Engineer";113000;"US";0;"US";"L"
"SE";"FT";"Data Analyst";135000;"US";100;"US";"M"
"SE";"FT";"Data Science Manager";161342;"US";100;"US";"M"
"SE";"FT";"Data Science Manager";137141;"US";100;"US";"M"
"SE";"FT";"Data Scientist";167000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";123000;"US";100;"US";"M"
"SE";"FT";"Data Engineer";78526;"GB";0;"GB";"M"
"SE";"FT";"Data Engineer";65438;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";150000;"US";0;"US";"M"
"SE";"FT";"Data Scientist";211500;"US";100;"US";"M"
"SE";"FT";"Data Architect";192400;"CA";100;"CA";"M"
"SE";"FT";"Data Architect";90700;"CA";100;"CA";"M"
"SE";"FT";"Data Analyst";130000;"CA";100;"CA";"M"
"SE";"FT";"Data Analyst";61300;"CA";100;"CA";"M"
"SE";"FT";"Data Analyst";130000;"CA";100;"CA";"M"
"SE";"FT";"Data Analyst";61300;"CA";100;"CA";"M"
"SE";"FT";"Data Engineer";160000;"US";0;"US";"L"
"SE";"FT";"Data Scientist";138600;"US";100;"US";"M"
"SE";"FT";"Data Engineer";136000;"US";0;"US";"M"
"MI";"FT";"Data Analyst";58000;"US";0;"US";"S"
"SE";"FT";"Data Scientist";170000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";123000;"US";100;"US";"M"
"SE";"FT";"ML Engineer";189650;"US";0;"US";"M"
"SE";"FT";"ML Engineer";164996;"US";0;"US";"M"
"MI";"FT";"ETL Developer";54957;"GR";0;"GR";"M"
"MI";"FT";"ETL Developer";54957;"GR";0;"GR";"M"
"SE";"FT";"Data Analyst";132000;"US";0;"US";"M"
"SE";"FT";"Data Engineer";165400;"US";100;"US";"M"
"SE";"FT";"Data Architect";208775;"US";100;"US";"M"
"SE";"FT";"Data Architect";147800;"US";100;"US";"M"
"SE";"FT";"Data Engineer";136994;"US";100;"US";"M"
"SE";"FT";"Data Engineer";101570;"US";100;"US";"M"
"SE";"FT";"Data Analyst";128875;"US";100;"US";"M"
"SE";"FT";"Data Analyst";93700;"US";100;"US";"M"
"SE";"FT";"Data Engineer";132320;"US";100;"US";"M"
"EN";"FT";"ML Engineer";37300;"GB";100;"GB";"L"
"SE";"FT";"Data Analyst";164000;"US";0;"US";"M"
"SE";"FT";"Data Engineer";155000;"US";100;"US";"M"
"MI";"FT";"ML Engineer";124333;"GB";0;"GB";"M"
"MI";"FT";"ML Engineer";98158;"GB";0;"GB";"M"
"MI";"FT";"AI Scientist";120000;"US";0;"US";"M"
"SE";"FT";"Data Analyst";112900;"US";100;"US";"M"
"SE";"FT";"Data Analyst";90320;"US";100;"US";"M"
"SE";"FT";"Data Analytics Manager";145000;"US";100;"US";"M"
"SE";"FT";"Data Analytics Manager";105400;"US";100;"US";"M"
"MI";"FT";"ML Engineer";87932;"FR";100;"DE";"M"
"MI";"FT";"Data Engineer";117789;"GB";0;"GB";"M"
"SE";"FT";"Data Scientist";215300;"US";100;"US";"L"
"SE";"FT";"Data Scientist";158200;"US";100;"US";"L"
"SE";"FT";"Data Engineer";209100;"US";100;"US";"L"
"SE";"FT";"Data Engineer";154600;"US";100;"US";"L"
"SE";"FT";"Data Analyst";115934;"US";0;"US";"M"
"SE";"FT";"Data Analyst";81666;"US";0;"US";"M"
"SE";"FT";"Data Engineer";175000;"US";100;"US";"M"
"MI";"FT";"Data Engineer";98158;"GB";0;"GB";"M"
"MI";"FT";"Data Analyst";58000;"US";0;"US";"S"
"SE";"FT";"Data Engineer";183600;"US";100;"US";"L"
"MI";"FT";"Data Analyst";52351;"GB";100;"GB";"M"
"SE";"FT";"Data Scientist";180000;"US";100;"US";"M"
"MI";"FT";"Data Scientist";71982;"GB";0;"GB";"M"
"MI";"FT";"Data Scientist";45807;"GB";0;"GB";"M"
"MI";"FT";"Data Engineer";65949;"GR";100;"GR";"M"
"MI";"FT";"Data Engineer";49461;"GR";100;"GR";"M"
"MI";"FT";"Data Engineer";78526;"GB";100;"GB";"M"
"MI";"FT";"Data Engineer";58894;"GB";100;"GB";"M"
"SE";"FT";"Data Scientist";260000;"US";100;"US";"M"
"SE";"FT";"Data Science Engineer";60000;"AR";100;"MX";"L"
"MI";"FT";"Data Engineer";63900;"US";0;"US";"M"
"MI";"FT";"ML Scientist";160000;"US";100;"US";"L"
"MI";"FT";"ML Scientist";112300;"US";100;"US";"L"
"MI";"FT";"Data Science Manager";241000;"US";100;"US";"M"
"MI";"FT";"Data Science Manager";159000;"US";100;"US";"M"
"SE";"FT";"Data Scientist";180000;"US";0;"US";"M"
"SE";"FT";"Data Scientist";80000;"US";0;"US";"M"
"MI";"FT";"Data Engineer";82900;"US";0;"US";"M"
"SE";"FT";"Data Engineer";100800;"US";100;"US";"L"
"MI";"FT";"Data Engineer";49461;"ES";100;"ES";"M"
"SE";"FT";"Data Scientist";140400;"US";0;"US";"L"
"MI";"FT";"Data Analyst";39263;"GB";100;"GB";"M"
"MI";"FT";"Data Analyst";43966;"ES";100;"ES";"M"
"MI";"FT";"Data Analyst";32974;"ES";100;"ES";"M"
"MI";"FT";"Data Engineer";87932;"ES";100;"ES";"M"
"MI";"FT";"Data Engineer";76940;"ES";100;"ES";"M"
"MI";"FT";"Data Engineer";104702;"GB";100;"GB";"M"
"MI";"FT";"Data Engineer";91614;"GB";100;"GB";"M"
"MI";"FT";"Data Engineer";65949;"ES";100;"ES";"M"
"MI";"FT";"Data Engineer";87932;"GR";100;"GR";"M"
"SE";"FT";"ML Engineer";189650;"US";0;"US";"M"
"SE";"FT";"ML Engineer";164996;"US";0;"US";"M"
"MI";"FT";"Data Analyst";43966;"GR";100;"GR";"M"
"MI";"FT";"Data Analyst";32974;"GR";100;"GR";"M"
"MI";"FT";"Data Engineer";98158;"GB";100;"GB";"M"
"MI";"FT";"Data Engineer";78526;"GB";100;"GB";"M"
"SE";"FT";"Data Scientist";215300;"US";0;"US";"L"
"MI";"FT";"Data Engineer";76940;"GR";100;"GR";"M"
"SE";"FT";"Data Engineer";209100;"US";100;"US";"L"
"SE";"FT";"Data Engineer";154600;"US";100;"US";"L"
"SE";"FT";"Data Engineer";180000;"US";100;"US";"M"
"EN";"FT";"ML Engineer";21983;"PT";100;"PT";"L"
"SE";"FT";"Data Engineer";80000;"US";100;"US";"M"
"MI";"FT";"ML Developer";78791;"CA";100;"CA";"M"
"MI";"FT";"ML Engineer";120000;"US";100;"US";"S"
"EN";"FT";"Computer Vision Engineer";125000;"US";0;"US";"M"
"MI";"FT";"NLP Engineer";37236;"US";50;"US";"L"
"SE";"FT";"Data Engineer";105000;"US";100;"US";"M"
"SE";"FT";"Lead ML Engineer";87932;"DE";0;"DE";"M"
"MI";"FT";"Business Data Analyst";18442;"IN";100;"IN";"M"
"MI";"FT";"Data Scientist";31615;"IN";100;"IN";"L"
"MI";"FT";"ML Infrastructure Engineer";58255;"PT";50;"PT";"L"
"EN";"FT";"Financial Data Analyst";100000;"US";50;"US";"L"
"EN";"FT";"Data Scientist";18442;"IN";100;"IN";"M"
"SE";"FT";"Principal Data Scientist";162674;"DE";100;"DE";"M"
